Dear c	0.007530861	0.0122428555
Mrs c	0.011423179	0.0122428555
Smith c	0.015364801	0.0122428555

I c	0.269677	0.98230743
have c	0.26154983	0.98230743
received c	0.2669692	0.98230743
your c	0.12234308	0.98230743
letter c	0.18695247	0.98230743
, c	0.28583157	0.98230743
which c	0.68537056	0.98230743
was c	0.3932612	0.98230743
about c	0.37672	0.98230743
that i	0.09030218	0.98230743
you i	0.042275093	0.98230743
would i	0.06892976	0.98230743
like i	0.5509616	0.98230743
me i	0.7877185	0.98230743
to i	0.86060387	0.98230743
inform i	0.9790431	0.98230743
you i	0.9066346	0.98230743
. c	0.9345046	0.98230743

As c	0.7606467	0.99451053
you c	0.076503135	0.99451053
know c	0.6305212	0.99451053
, c	0.6681337	0.99451053
a c	0.059033543	0.99451053
hotel c	0.51504606	0.99451053
whose i	0.07962983	0.99451053
name i	0.043274954	0.99451053
is i	0.04666016	0.99451053
Palace i	0.11827487	0.99451053
Hotel c	0.087608315	0.99451053
has c	0.22032736	0.99451053
been c	0.15248981	0.99451053
booked c	0.57652104	0.99451053
for c	0.033061497	0.99451053
your c	0.01716808	0.99451053
group c	0.04212113	0.99451053
. c	0.1300339	0.99451053

The c	0.098675966	0.89285344
best c	0.28738448	0.89285344
way c	0.17460963	0.89285344
to c	0.060632177	0.89285344
get c	0.063789375	0.89285344
from c	0.047224164	0.89285344
there c	0.025866736	0.89285344
to c	0.019623743	0.89285344
the c	0.058805037	0.89285344
conference c	0.34234136	0.89285344
is c	0.07513557	0.89285344
to c	0.019596433	0.89285344
take c	0.0383769	0.89285344
a c	0.0153829325	0.89285344
taxi c	0.21796037	0.89285344
. c	0.12046984	0.89285344

I c	0.16762859	0.024218405
am c	0.18521355	0.024218405
afraid c	0.14934073	0.024218405
there c	0.13573289	0.024218405
are c	0.023835016	0.024218405
no c	0.07115033	0.024218405
buses c	0.3253754	0.024218405
to c	0.026633779	0.024218405
get c	0.035490822	0.024218405
there c	0.054013673	0.024218405
. c	0.0268933	0.024218405

We c	0.026240638	0.98031676
will c	0.028250193	0.98031676
have c	0.07881334	0.98031676
a c	0.04624608	0.98031676
great c	0.053172886	0.98031676
party c	0.066744424	0.98031676
at c	0.007794069	0.98031676
the c	0.01728176	0.98031676
end c	0.028916443	0.98031676
of c	0.024640942	0.98031676
the c	0.011685011	0.98031676
conference c	0.017139308	0.98031676
. c	0.010117085	0.98031676

The c	0.040237896	0.998466
party c	0.06727773	0.998466
will c	0.013882841	0.998466
be c	0.0065590492	0.998466
formal c	0.38392788	0.998466
, c	0.08325179	0.998466
therefore c	0.9499848	0.998466
you c	0.029547812	0.998466
have i	0.113416255	0.998466
to c	0.06979578	0.998466
wear c	0.9229017	0.998466
formal c	0.96718895	0.998466
clothes c	0.8755194	0.998466
like c	0.39809996	0.998466
a c	0.057284098	0.998466
suit c	0.82538116	0.998466
or c	0.48309398	0.998466
a c	0.14032899	0.998466
dress c	0.6988531	0.998466
. c	0.61526465	0.998466

As c	0.21566774	0.254989
you c	0.11517151	0.254989
know c	0.12082292	0.254989
, c	0.24813427	0.254989
it c	0.19541392	0.254989
is c	0.12316016	0.254989
not c	0.07066961	0.254989
suitable c	0.8635653	0.254989
to c	0.05961764	0.254989
wear c	0.06027499	0.254989
a i	0.02172893	0.254989
jean i	0.12482789	0.254989
or c	0.024541164	0.254989
something c	0.024932833	0.254989
. i	0.022369204	0.254989

On c	0.8263157	0.99732757
your c	0.037835624	0.99732757
last c	0.0753947	0.99732757
day c	0.40451702	0.99732757
you c	0.03238702	0.99732757
have c	0.08376237	0.99732757
an i	0.09979709	0.99732757
afternoon c	0.90050775	0.99732757
free c	0.86089337	0.99732757
. c	0.4283482	0.99732757

In c	0.025395961	0.002783748
my c	0.014836102	0.002783748
area c	0.023443151	0.002783748
there c	0.022550162	0.002783748
is c	0.024565859	0.002783748
a c	0.03448385	0.002783748
fantastic c	0.055505317	0.002783748
park c	0.08400006	0.002783748
, c	0.114290625	0.002783748
which c	0.15732162	0.002783748
is c	0.05039598	0.002783748
the c	0.047402117	0.002783748
most c	0.038349215	0.002783748
famous c	0.088331975	0.002783748
park c	0.050658483	0.002783748
in c	0.029309891	0.002783748
the c	0.025306059	0.002783748
country c	0.036866445	0.002783748
